Time,BestBid,BidVol,BestAsk,AskVol,Price,Volume
1687039889800.0,26558.6,7.979,26558.7,3.493,26558.7,1476.086
1687039889900.0,26558.6,9.892,26558.7,4.243,26558.6,1476.488
1687039890000.0,26558.6,9.995,26558.7,4.5,26558.7,1476.499
1687039890100.0,26558.6,9.991,26558.7,4.655,26558.6,1476.509
1687039890200.0,26558.6,9.895,26558.7,4.653,26558.7,1476.97
1687039890300.0,26558.6,9.529,26558.7,4.775,26558.6,1476.976
1687039890400.0,26558.6,10.309,26558.7,4.749,26558.7,1477.363
1687039890500.0,26558.6,10.738,26558.7,2.683,26558.6,1478.121
1687039890600.0,26558.6,11.041,26558.7,2.651,26558.7,1478.252
1687039890700.0,26558.6,10.737,26558.7,3.05,26558.7,1478.287
1687039890800.0,26558.6,10.925,26558.7,2.018,26558.6,1478.552
1687039890900.0,26558.6,11.289,26558.7,1.698,26558.7,1478.9
1687039891000.0,26558.6,11.245,26558.7,1.675,26558.7,1479.133
1687039891100.0,26558.6,13.273,26558.7,1.333,26558.7,1479.133
1687039891200.0,26558.6,13.177,26558.7,1.851,26558.7,1479.198
1687039891300.0,26558.6,13.142,26558.7,3.195,26558.7,1479.2
1687039891400.0,26558.6,11.411,26558.7,2.946,26558.6,1481.192
1687039891500.0,26558.6,11.59,26558.7,2.955,26558.7,1481.474
1687039891600.0,26558.6,11.688,26558.7,2.085,26558.6,1481.794
1687039891700.0,26560.0,18.074,26560.1,0.057,26560.0,1484.028
1687039891800.0,26562.8,8.807,26562.9,0.646,26562.7,1491.052
1687039891900.0,26564.0,11.913,26564.1,0.019,26564.0,1491.965
1687039892000.0,26565.5,16.245,26565.6,0.916,26565.4,1492.184
1687039892100.0,26565.5,18.8,26565.6,2.136,26565.6,1492.379
1687039892200.0,26565.5,15.337,26565.6,2.984,26565.6,1492.932
1687039892300.0,26565.5,14.781,26565.6,3.006,26565.5,1493.382
1687039892400.0,26567.3,0.421,26567.4,11.038,26567.3,1503.063
1687039892500.0,26567.3,0.706,26567.4,12.247,26567.4,1503.075
1687039892600.0,26565.6,0.056,26565.7,1.113,26565.7,1504.414
1687039892700.0,26565.2,0.143,26565.3,13.804,26565.3,1504.495
1687039892800.0,26565.2,0.331,26565.3,14.373,26565.3,1504.496
1687039892900.0,26565.2,0.519,26565.3,15.558,26565.3,1504.496
1687039893000.0,26565.2,0.531,26565.3,16.523,26565.3,1504.496
1687039893100.0,26564.2,0.281,26564.3,39.887,26564.3,1505.172
1687039893200.0,26564.2,0.259,26564.3,25.594,26564.3,1505.313
1687039893300.0,26564.2,0.261,26564.3,25.093,26564.2,1505.332
1687039893400.0,26564.2,0.105,26564.3,22.912,26564.3,1507.381
1687039893500.0,26564.2,0.293,26564.3,13.43,26564.3,1507.638
1687039893600.0,26564.2,0.331,26564.3,13.348,26564.3,1507.638
1687039893700.0,26562.0,0.011,26562.1,9.88,26562.0,1509.078
1687039893800.0,26562.0,0.031,26562.1,7.743,26562.0,1509.078
1687039893900.0,26562.0,1.616,26562.1,8.751,26562.1,1509.08
1687039894000.0,26565.1,5.319,26565.2,3.519,26565.2,1531.787
1687039894100.0,26565.1,6.21,26565.2,3.543,26565.2,1532.012
1687039894200.0,26565.1,6.344,26565.2,2.626,26565.2,1532.563
1687039894300.0,26565.1,6.552,26565.2,5.204,26565.2,1532.563
1687039894400.0,26565.1,6.603,26565.2,5.217,26565.1,1532.582
1687039894500.0,26565.1,6.603,26565.2,5.318,26565.1,1539.185
1687039894600.0,26560.2,6.842,26560.3,1.387,26560.2,1553.59
1687039894700.0,26559.4,4.448,26559.5,10.158,26559.4,1564.759
1687039894800.0,26559.4,4.448,26559.5,10.016,26559.4,1564.759
1687039894900.0,26559.4,5.638,26559.5,10.226,26559.5,1564.875
1687039895000.0,26559.4,6.766,26559.5,10.48,26559.5,1564.878
1687039895100.0,26559.4,4.189,26559.5,7.12,26559.4,1568.551
1687039895200.0,26559.4,11.065,26559.5,7.046,26559.4,1568.551
1687039895300.0,26559.5,15.772,26559.6,0.009,26559.5,1568.573
1687039895400.0,26562.1,19.768,26562.2,1.357,26562.0,1572.55
1687039895500.0,26562.1,20.778,26562.2,0.05,26562.0,1572.55
1687039895600.0,26562.1,20.464,26562.2,1.428,26562.1,1572.637
1687039895700.0,26562.1,20.465,26562.2,1.428,26562.1,1572.637
1687039895800.0,26562.1,20.473,26562.2,1.051,26562.1,1572.637
1687039895900.0,26562.1,20.518,26562.2,0.288,26562.1,1572.637
1687039896000.0,26562.1,20.465,26562.2,0.927,26562.2,1573.016
1687039896100.0,26562.1,20.348,26562.2,0.987,26562.2,1573.178
1687039896200.0,26562.8,13.379,26562.9,0.104,26562.7,1573.38
1687039896300.0,26562.8,11.044,26562.9,0.148,26562.8,1573.385
1687039896400.0,26562.8,10.659,26562.9,0.199,26562.8,1573.657
1687039896500.0,26562.8,13.534,26562.9,0.197,26562.8,1573.916
1687039896600.0,26562.8,13.733,26562.9,0.29,26562.9,1573.918
1687039896700.0,26562.8,13.757,26562.9,0.29,26562.9,1573.918
1687039896800.0,26565.0,7.114,26565.1,0.414,26565.0,1575.092
1687039896900.0,26565.0,10.74,26565.1,0.537,26565.1,1575.482
1687039897000.0,26565.0,9.534,26565.1,0.542,26565.0,1575.5
1687039897100.0,26565.0,9.359,26565.1,0.774,26565.1,1575.507
1687039897200.0,26565.0,9.409,26565.1,0.505,26565.1,1575.564
1687039897300.0,26565.0,9.315,26565.1,0.495,26565.1,1575.574
1687039897400.0,26565.0,9.27,26565.1,0.692,26565.0,1575.579
1687039897500.0,26565.0,9.392,26565.1,0.673,26565.0,1575.579
1687039897600.0,26565.0,9.386,26565.1,2.03,26565.1,1575.598
1687039897700.0,26565.0,9.387,26565.1,2.03,26565.1,1575.598
1687039897800.0,26565.0,9.393,26565.1,2.03,26565.1,1575.598
1687039897900.0,26565.0,9.371,26565.1,1.979,26565.0,1575.621
1687039898000.0,26565.0,9.371,26565.1,3.155,26565.1,1575.777
1687039898100.0,26565.0,9.461,26565.1,3.451,26565.1,1575.777
1687039898200.0,26565.0,9.456,26565.1,3.45,26565.1,1575.844
1687039898300.0,26565.0,8.977,26565.1,1.488,26565.1,1576.314
1687039898400.0,26565.0,9.099,26565.1,1.946,26565.1,1576.314
1687039898500.0,26565.0,8.975,26565.1,1.817,26565.0,1577.2
1687039898600.0,26565.0,8.975,26565.1,1.817,26565.1,1577.202
1687039898700.0,26565.0,8.987,26565.1,1.936,26565.1,1577.202
1687039898800.0,26565.0,9.033,26565.1,1.936,26565.1,1577.202
1687039898900.0,26567.2,0.016,26567.3,10.786,26567.3,1586.607
1687039899000.0,26566.7,0.39,26566.8,15.776,26566.9,1586.661
1687039899100.0,26566.7,0.617,26566.8,18.836,26566.7,1586.773
1687039899200.0,26566.7,0.643,26566.8,19.095,26566.7,1586.773
1687039899300.0,26566.7,0.669,26566.8,18.808,26566.8,1586.917
1687039899400.0,26566.7,0.681,26566.8,18.808,26566.8,1586.917
1687039899500.0,26566.7,0.681,26566.8,18.808,26566.8,1587.204
1687039899600.0,26566.7,3.099,26566.8,18.714,26566.8,1587.298
1687039899700.0,26566.7,3.102,26566.8,18.714,26566.8,1587.298
1687039899800.0,26566.7,3.115,26566.8,18.723,26566.8,1587.298
1687039899900.0,26566.7,2.997,26566.8,15.389,26566.8,1587.498
1687039900000.0,26566.7,2.887,26566.8,15.384,26566.7,1587.616
1687039900100.0,26566.7,2.895,26566.8,15.384,26566.7,1587.616
1687039900200.0,26566.7,1.767,26566.8,14.366,26566.8,1587.621
1687039900300.0,26566.7,2.251,26566.8,14.437,26566.8,1587.623
1687039900400.0,26566.7,2.802,26566.8,14.429,26566.8,1587.642
1687039900500.0,26566.7,2.802,26566.8,15.546,26566.7,1587.743
1687039900600.0,26566.7,2.752,26566.8,15.545,26566.8,1587.796
1687039900700.0,26566.7,2.752,26566.8,15.553,26566.8,1587.796
1687039900800.0,26566.7,2.748,26566.8,15.524,26566.8,1587.825
1687039900900.0,26566.7,2.75,26566.8,15.524,26566.7,1587.829
1687039901000.0,26566.7,0.406,26566.8,15.502,26566.8,1588.251
1687039901100.0,26566.7,1.011,26566.8,15.71,26566.7,1590.305
1687039901200.0,26566.7,1.207,26566.8,15.954,26566.8,1590.777
1687039901300.0,26566.6,0.03,26566.7,8.183,26566.6,1602.453
1687039901400.0,26566.6,0.235,26566.7,8.008,26566.7,1602.852
1687039901500.0,26566.6,0.227,26566.7,9.148,26566.7,1603.02
1687039901600.0,26566.6,0.228,26566.7,9.57,26566.7,1603.02
1687039901700.0,26566.6,0.232,26566.7,9.563,26566.7,1603.06
1687039901800.0,26565.0,1.312,26565.1,13.28,26565.2,1604.568
1687039901900.0,26565.0,1.842,26565.1,13.257,26565.1,1604.667
1687039902000.0,26565.0,0.754,26565.1,13.515,26565.1,1604.667
1687039902100.0,26565.0,0.755,26565.1,14.083,26565.0,1604.926
1687039902200.0,26565.0,0.758,26565.1,14.083,26565.0,1604.995
1687039902300.0,26565.0,1.039,26565.1,14.089,26565.1,1604.996
1687039902400.0,26565.0,1.038,26565.1,15.735,26565.1,1604.996
1687039902500.0,26564.8,0.006,26564.9,23.91,26564.9,1606.074
1687039902600.0,26563.8,0.007,26563.9,9.71,26564.0,1606.363
1687039902700.0,26563.3,0.001,26563.4,19.082,26563.4,1606.429
1687039902800.0,26563.2,0.024,26563.3,22.133,26563.4,1606.432
1687039902900.0,26563.2,0.025,26563.3,22.321,26563.3,1606.433
1687039903000.0,26563.2,0.025,26563.3,22.824,26563.3,1606.433
1687039903100.0,26563.2,0.034,26563.3,22.792,26563.3,1606.546
1687039903200.0,26563.2,0.038,26563.3,22.802,26563.3,1606.688
1687039903300.0,26563.2,0.079,26563.3,22.698,26563.3,1606.688
1687039903400.0,26563.2,0.121,26563.3,22.7,26563.3,1606.792
1687039903500.0,26563.2,0.125,26563.3,23.664,26563.3,1606.792
1687039903600.0,26563.2,0.125,26563.3,23.57,26563.3,1606.792
1687039903700.0,26563.2,0.129,26563.3,23.57,26563.3,1606.888
1687039903800.0,26562.9,1.173,26563.0,26.434,26563.0,1607.025
1687039903900.0,26562.9,1.215,26563.0,26.446,26562.9,1607.942
1687039904000.0,26562.9,1.576,26563.0,26.978,26562.9,1607.964
1687039904100.0,26562.9,1.585,26563.0,30.801,26563.0,1608.169
1687039904200.0,26562.9,1.117,26563.0,30.803,26563.0,1608.169
1687039904300.0,26560.8,1.779,26560.9,11.16,26561.1,1610.279
1687039904400.0,26560.8,1.782,26560.9,12.103,26561.0,1610.604
1687039904500.0,26560.8,3.14,26560.9,14.938,26561.0,1610.604
1687039904600.0,26560.8,3.14,26560.9,14.938,26560.9,1610.854
1687039904700.0,26560.8,3.14,26560.9,14.954,26560.9,1610.854
1687039904800.0,26560.8,3.14,26560.9,14.954,26560.8,1610.864
1687039904900.0,26560.8,3.135,26560.9,14.954,26560.8,1610.864
1687039905000.0,26560.8,3.139,26560.9,14.954,26560.8,1610.864
1687039905100.0,26560.8,3.644,26560.9,14.959,26560.8,1610.864
1687039905200.0,26560.8,5.506,26560.9,11.924,26560.8,1610.869
1687039905300.0,26560.8,10.717,26560.9,4.41,26560.8,1610.869
1687039905400.0,26560.8,5.88,26560.9,4.425,26560.9,1611.206
1687039905500.0,26560.8,5.735,26560.9,4.428,26560.9,1611.215
1687039905600.0,26560.8,4.04,26560.9,4.734,26560.9,1611.215
